ONTOLOGY	TERM	N	DE	P.DE	FDR
GO:0045263	CC	proton-transporting ATP synthase complex, coupling factor F(o)	11	0	1	1
GO:0045265	CC	proton-transporting ATP synthase, stator stalk	1	0	1	1
GO:0045267	CC	proton-transporting ATP synthase, catalytic core	1	0	1	1
GO:0045271	CC	respiratory chain complex I	43	0	1	1
GO:0045272	CC	plasma membrane respiratory chain complex I	1	0	1	1
GO:0045273	CC	respiratory chain complex II	5	0	1	1
GO:0045274	CC	plasma membrane respiratory chain complex II	1	0	1	1
GO:0045275	CC	respiratory chain complex III	11	0	1	1
GO:0045277	CC	respiratory chain complex IV	16	0	1	1
GO:0045281	CC	succinate dehydrogenase complex	5	0	1	1
GO:0045282	CC	plasma membrane succinate dehydrogenase complex	1	0	1	1
GO:0045283	CC	fumarate reductase complex	5	0	1	1
GO:0045291	BP	mRNA trans splicing, SL addition	2	0	1	1
GO:0045292	BP	mRNA cis splicing, via spliceosome	36	0	1	1
GO:0045293	CC	mRNA editing complex	8	0	1	1
GO:0045294	MF	alpha-catenin binding	10	0	1	1
GO:0045295	MF	gamma-catenin binding	12	0	1	1
GO:0045296	MF	cadherin binding	329	0	1	1
GO:0045297	BP	post-mating behavior	1	0	1	1
GO:0045298	CC	tubulin complex	2	0	1	1
GO:0045299	BP	otolith mineralization	2	0	1	1
GO:0045309	MF	protein phosphorylated amino acid binding	51	0	1	1
GO:0045321	BP	leukocyte activation	1190	1	0.2731642150573	1
GO:0045322	MF	unmethylated CpG binding	3	0	1	1
GO:0045323	CC	interleukin-1 receptor complex	2	0	1	1
GO:0045324	BP	late endosome to vacuole transport	16	0	1	1
GO:0045329	BP	carnitine biosynthetic process	5	0	1	1
GO:0045332	BP	phospholipid translocation	25	0	1	1
GO:0045333	BP	cellular respiration	179	0	1	1
GO:0045334	CC	clathrin-coated endocytic vesicle	61	0	1	1
GO:0045335	CC	phagocytic vesicle	130	0	1	1
GO:0045337	BP	farnesyl diphosphate biosynthetic process	4	0	1	1
GO:0045338	BP	farnesyl diphosphate metabolic process	5	0	1	1
GO:0045340	MF	mercury ion binding	1	0	1	1
GO:0045341	BP	MHC class I biosynthetic process	5	0	1	1
GO:0045342	BP	MHC class II biosynthetic process	15	0	1	1
GO:0045343	BP	regulation of MHC class I biosynthetic process	5	0	1	1
GO:0045345	BP	positive regulation of MHC class I biosynthetic process	5	0	1	1
GO:0045346	BP	regulation of MHC class II biosynthetic process	14	0	1	1
GO:0045347	BP	negative regulation of MHC class II biosynthetic process	5	0	1	1
GO:0045348	BP	positive regulation of MHC class II biosynthetic process	10	0	1	1
GO:0045349	BP	interferon-alpha biosynthetic process	6	0	1	1
GO:0045350	BP	interferon-beta biosynthetic process	8	0	1	1
GO:0045351	BP	type I interferon biosynthetic process	11	0	1	1
GO:0045352	MF	interleukin-1 type I receptor antagonist activity	1	0	1	1
GO:0045353	MF	interleukin-1 type II receptor antagonist activity	1	0	1	1
GO:0045354	BP	regulation of interferon-alpha biosynthetic process	6	0	1	1
GO:0045355	BP	negative regulation of interferon-alpha biosynthetic process	2	0	1	1
GO:0045356	BP	positive regulation of interferon-alpha biosynthetic process	4	0	1	1
GO:0045357	BP	regulation of interferon-beta biosynthetic process	8	0	1	1
GO:0045358	BP	negative regulation of interferon-beta biosynthetic process	1	0	1	1
GO:0045359	BP	positive regulation of interferon-beta biosynthetic process	7	0	1	1
GO:0045360	BP	regulation of interleukin-1 biosynthetic process	14	0	1	1
GO:0045361	BP	negative regulation of interleukin-1 biosynthetic process	7	0	1	1
GO:0045362	BP	positive regulation of interleukin-1 biosynthetic process	7	0	1	1
GO:0045366	BP	regulation of interleukin-13 biosynthetic process	1	0	1	1
GO:0045368	BP	positive regulation of interleukin-13 biosynthetic process	1	0	1	1
GO:0045378	BP	regulation of interleukin-17 biosynthetic process	3	0	1	1
GO:0045379	BP	negative regulation of interleukin-17 biosynthetic process	2	0	1	1
GO:0045380	BP	positive regulation of interleukin-17 biosynthetic process	1	0	1	1
GO:0045381	BP	regulation of interleukin-18 biosynthetic process	1	0	1	1
GO:0045399	BP	regulation of interleukin-3 biosynthetic process	1	0	1	1
GO:0045401	BP	positive regulation of interleukin-3 biosynthetic process	1	0	1	1
GO:0045402	BP	regulation of interleukin-4 biosynthetic process	3	0	1	1
GO:0045403	BP	negative regulation of interleukin-4 biosynthetic process	1	0	1	1
GO:0045404	BP	positive regulation of interleukin-4 biosynthetic process	2	0	1	1
GO:0045405	BP	regulation of interleukin-5 biosynthetic process	1	0	1	1
GO:0045407	BP	positive regulation of interleukin-5 biosynthetic process	1	0	1	1
GO:0045408	BP	regulation of interleukin-6 biosynthetic process	27	0	1	1
GO:0045409	BP	negative regulation of interleukin-6 biosynthetic process	9	0	1	1
GO:0045410	BP	positive regulation of interleukin-6 biosynthetic process	15	0	1	1
GO:0045414	BP	regulation of interleukin-8 biosynthetic process	19	0	1	1
GO:0045415	BP	negative regulation of interleukin-8 biosynthetic process	7	0	1	1
GO:0045416	BP	positive regulation of interleukin-8 biosynthetic process	12	0	1	1
GO:0045423	BP	regulation of granulocyte macrophage colony-stimulating factor biosynthetic process	3	0	1	1
GO:0045425	BP	positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process	2	0	1	1
GO:0045428	BP	regulation of nitric oxide biosynthetic process	65	0	1	1
GO:0045429	BP	positive regulation of nitric oxide biosynthetic process	42	0	1	1
GO:0045444	BP	fat cell differentiation	221	0	1	1
GO:0045445	BP	myoblast differentiation	84	0	1	1
GO:0045446	BP	endothelial cell differentiation	113	0	1	1
GO:0045448	BP	mitotic cell cycle, embryonic	4	0	1	1
GO:0045453	BP	bone resorption	62	0	1	1
GO:0045454	BP	cell redox homeostasis	76	0	1	1
GO:0045471	BP	response to ethanol	123	0	1	1
GO:0045472	BP	response to ether	12	0	1	1
GO:0045475	BP	locomotor rhythm	15	0	1	1
GO:0045485	MF	omega-6 fatty acid desaturase activity	1	0	1	1
GO:0045494	BP	photoreceptor cell maintenance	38	0	1	1
GO:0045495	CC	pole plasm	19	0	1	1
GO:0045499	MF	chemorepellent activity	27	0	1	1
GO:0045503	MF	dynein light chain binding	25	0	1	1
GO:0045504	MF	dynein heavy chain binding	14	0	1	1
GO:0045505	MF	dynein intermediate chain binding	29	0	1	1
GO:0045509	MF	interleukin-27 receptor activity	2	0	1	1
GO:0045513	MF	interleukin-27 binding	1	0	1	1
GO:0045515	MF	interleukin-18 receptor binding	1	0	1	1
GO:0045517	MF	interleukin-20 receptor binding	1	0	1	1
GO:0045518	MF	interleukin-22 receptor binding	2	0	1	1
GO:0045519	MF	interleukin-23 receptor binding	3	0	1	1
GO:0045523	MF	interleukin-27 receptor binding	3	0	1	1
GO:0045540	BP	regulation of cholesterol biosynthetic process	49	0	1	1
GO:0045541	BP	negative regulation of cholesterol biosynthetic process	8	0	1	1
GO:0045542	BP	positive regulation of cholesterol biosynthetic process	9	0	1	1
GO:0045545	MF	syndecan binding	7	0	1	1
GO:0045547	MF	dehydrodolichyl diphosphate synthase activity	2	0	1	1
GO:0045550	MF	geranylgeranyl reductase activity	2	0	1	1
GO:0045553	BP	TRAIL biosynthetic process	1	0	1	1
GO:0045554	BP	regulation of TRAIL biosynthetic process	1	0	1	1
GO:0045556	BP	positive regulation of TRAIL biosynthetic process	1	0	1	1
GO:0045569	MF	TRAIL binding	5	0	1	1
GO:0045575	BP	basophil activation	3	0	1	1
GO:0045576	BP	mast cell activation	58	0	1	1
GO:0045577	BP	regulation of B cell differentiation	28	0	1	1
GO:0045578	BP	negative regulation of B cell differentiation	5	0	1	1
GO:0045579	BP	positive regulation of B cell differentiation	12	0	1	1
GO:0045580	BP	regulation of T cell differentiation	137	1	0.0360815196839791	1
GO:0045581	BP	negative regulation of T cell differentiation	43	1	0.0113792126598083	1
GO:0045582	BP	positive regulation of T cell differentiation	83	0	1	1
GO:0045583	BP	regulation of cytotoxic T cell differentiation	2	0	1	1
GO:0045585	BP	positive regulation of cytotoxic T cell differentiation	2	0	1	1
GO:0045586	BP	regulation of gamma-delta T cell differentiation	5	0	1	1
GO:0045588	BP	positive regulation of gamma-delta T cell differentiation	3	0	1	1
GO:0045589	BP	regulation of regulatory T cell differentiation	32	1	0.0071070662683757	1
GO:0045590	BP	negative regulation of regulatory T cell differentiation	7	1	0.00130253291360888	1
GO:0045591	BP	positive regulation of regulatory T cell differentiation	14	0	1	1
GO:0045595	BP	regulation of cell differentiation	1845	1	0.439043673356351	1
GO:0045596	BP	negative regulation of cell differentiation	738	1	0.193795489111118	1
GO:0045597	BP	positive regulation of cell differentiation	978	0	1	1
GO:0045598	BP	regulation of fat cell differentiation	131	0	1	1
GO:0045599	BP	negative regulation of fat cell differentiation	51	0	1	1
GO:0045600	BP	positive regulation of fat cell differentiation	63	0	1	1
GO:0045601	BP	regulation of endothelial cell differentiation	44	0	1	1
GO:0045602	BP	negative regulation of endothelial cell differentiation	13	0	1	1
GO:0045603	BP	positive regulation of endothelial cell differentiation	24	0	1	1
GO:0045604	BP	regulation of epidermal cell differentiation	61	0	1	1
GO:0045605	BP	negative regulation of epidermal cell differentiation	14	0	1	1
GO:0045606	BP	positive regulation of epidermal cell differentiation	24	0	1	1
GO:0045607	BP	regulation of inner ear auditory receptor cell differentiation	8	0	1	1
GO:0045608	BP	negative regulation of inner ear auditory receptor cell differentiation	4	0	1	1
GO:0045609	BP	positive regulation of inner ear auditory receptor cell differentiation	1	0	1	1
GO:0045616	BP	regulation of keratinocyte differentiation	41	0	1	1
GO:0045617	BP	negative regulation of keratinocyte differentiation	8	0	1	1
GO:0045618	BP	positive regulation of keratinocyte differentiation	16	0	1	1
GO:0045619	BP	regulation of lymphocyte differentiation	166	1	0.0430478985417785	1
GO:0045620	BP	negative regulation of lymphocyte differentiation	53	1	0.0138479556815554	1
GO:0045621	BP	positive regulation of lymphocyte differentiation	93	0	1	1
GO:0045622	BP	regulation of T-helper cell differentiation	35	0	1	1
GO:0045623	BP	negative regulation of T-helper cell differentiation	16	0	1	1
GO:0045624	BP	positive regulation of T-helper cell differentiation	22	0	1	1
GO:0045625	BP	regulation of T-helper 1 cell differentiation	10	0	1	1
GO:0045626	BP	negative regulation of T-helper 1 cell differentiation	3	0	1	1
GO:0045627	BP	positive regulation of T-helper 1 cell differentiation	6	0	1	1
GO:0045628	BP	regulation of T-helper 2 cell differentiation	11	0	1	1
GO:0045629	BP	negative regulation of T-helper 2 cell differentiation	4	0	1	1
GO:0045630	BP	positive regulation of T-helper 2 cell differentiation	7	0	1	1
GO:0045631	BP	regulation of mechanoreceptor differentiation	8	0	1	1
GO:0045632	BP	negative regulation of mechanoreceptor differentiation	4	0	1	1
GO:0045633	BP	positive regulation of mechanoreceptor differentiation	1	0	1	1
GO:0045634	BP	regulation of melanocyte differentiation	6	0	1	1
GO:0045636	BP	positive regulation of melanocyte differentiation	5	0	1	1
GO:0045637	BP	regulation of myeloid cell differentiation	245	0	1	1
GO:0045638	BP	negative regulation of myeloid cell differentiation	89	0	1	1
GO:0045639	BP	positive regulation of myeloid cell differentiation	90	0	1	1
GO:0045643	BP	regulation of eosinophil differentiation	2	0	1	1
GO:0045645	BP	positive regulation of eosinophil differentiation	2	0	1	1
GO:0045646	BP	regulation of erythrocyte differentiation	47	0	1	1
GO:0045647	BP	negative regulation of erythrocyte differentiation	9	0	1	1
GO:0045648	BP	positive regulation of erythrocyte differentiation	31	0	1	1
GO:0045649	BP	regulation of macrophage differentiation	22	0	1	1
GO:0045650	BP	negative regulation of macrophage differentiation	7	0	1	1
GO:0045651	BP	positive regulation of macrophage differentiation	14	0	1	1
GO:0045652	BP	regulation of megakaryocyte differentiation	73	0	1	1
GO:0045653	BP	negative regulation of megakaryocyte differentiation	16	0	1	1
GO:0045654	BP	positive regulation of megakaryocyte differentiation	6	0	1	1
GO:0045655	BP	regulation of monocyte differentiation	20	0	1	1
GO:0045656	BP	negative regulation of monocyte differentiation	8	0	1	1
GO:0045657	BP	positive regulation of monocyte differentiation	10	0	1	1
GO:0045658	BP	regulation of neutrophil differentiation	3	0	1	1
GO:0045659	BP	negative regulation of neutrophil differentiation	2	0	1	1
GO:0045660	BP	positive regulation of neutrophil differentiation	1	0	1	1
GO:0045661	BP	regulation of myoblast differentiation	53	0	1	1
GO:0045662	BP	negative regulation of myoblast differentiation	25	0	1	1
GO:0045663	BP	positive regulation of myoblast differentiation	22	0	1	1
GO:0045664	BP	regulation of neuron differentiation	647	0	1	1
GO:0045665	BP	negative regulation of neuron differentiation	224	0	1	1
GO:0045666	BP	positive regulation of neuron differentiation	364	0	1	1
GO:0045667	BP	regulation of osteoblast differentiation	124	0	1	1
GO:0045668	BP	negative regulation of osteoblast differentiation	50	0	1	1
GO:0045669	BP	positive regulation of osteoblast differentiation	63	0	1	1
GO:0045670	BP	regulation of osteoclast differentiation	64	0	1	1
GO:0045671	BP	negative regulation of osteoclast differentiation	27	0	1	1
GO:0045672	BP	positive regulation of osteoclast differentiation	25	0	1	1
GO:0045682	BP	regulation of epidermis development	85	0	1	1
GO:0045683	BP	negative regulation of epidermis development	18	0	1	1
GO:0045684	BP	positive regulation of epidermis development	39	0	1	1
GO:0045685	BP	regulation of glial cell differentiation	73	0	1	1
GO:0045686	BP	negative regulation of glial cell differentiation	28	0	1	1
GO:0045687	BP	positive regulation of glial cell differentiation	43	0	1	1
GO:0045703	MF	ketoreductase activity	1	0	1	1
GO:0045713	BP	low-density lipoprotein particle receptor biosynthetic process	10	0	1	1
GO:0045714	BP	regulation of low-density lipoprotein particle receptor biosynthetic process	9	0	1	1
GO:0045715	BP	negative regulation of low-density lipoprotein particle receptor biosynthetic process	3	0	1	1
GO:0045716	BP	positive regulation of low-density lipoprotein particle receptor biosynthetic process	4	0	1	1
GO:0045717	BP	negative regulation of fatty acid biosynthetic process	21	0	1	1
GO:0045719	BP	negative regulation of glycogen biosynthetic process	6	0	1	1
GO:0045720	BP	negative regulation of integrin biosynthetic process	2	0	1	1
GO:0045721	BP	negative regulation of gluconeogenesis	17	0	1	1
GO:0045722	BP	positive regulation of gluconeogenesis	16	0	1	1
GO:0045723	BP	positive regulation of fatty acid biosynthetic process	22	0	1	1
GO:0045724	BP	positive regulation of cilium assembly	25	0	1	1
GO:0045725	BP	positive regulation of glycogen biosynthetic process	17	0	1	1
GO:0045726	BP	positive regulation of integrin biosynthetic process	3	0	1	1
GO:0045727	BP	positive regulation of translation	126	0	1	1
GO:0045728	BP	respiratory burst after phagocytosis	3	0	1	1
GO:0045730	BP	respiratory burst	35	0	1	1
GO:0045732	BP	positive regulation of protein catabolic process	213	0	1	1
GO:0045736	BP	negative regulation of cyclin-dependent protein serine/threonine kinase activity	33	0	1	1
GO:0045737	BP	positive regulation of cyclin-dependent protein serine/threonine kinase activity	29	0	1	1
GO:0045738	BP	negative regulation of DNA repair	33	0	1	1
GO:0045739	BP	positive regulation of DNA repair	64	0	1	1
GO:0045740	BP	positive regulation of DNA replication	36	0	1	1
GO:0045741	BP	positive regulation of epidermal growth factor-activated receptor activity	10	0	1	1
GO:0045742	BP	positive regulation of epidermal growth factor receptor signaling pathway	31	0	1	1
GO:0045743	BP	positive regulation of fibroblast growth factor receptor signaling pathway	8	0	1	1
GO:0045744	BP	negative regulation of G protein-coupled receptor signaling pathway	50	0	1	1
GO:0045745	BP	positive regulation of G protein-coupled receptor signaling pathway	32	0	1	1
GO:0045746	BP	negative regulation of Notch signaling pathway	43	0	1	1
GO:0045747	BP	positive regulation of Notch signaling pathway	52	0	1	1
GO:0045751	BP	negative regulation of Toll signaling pathway	1	0	1	1
GO:0045759	BP	negative regulation of action potential	13	0	1	1
GO:0045760	BP	positive regulation of action potential	12	0	1	1
GO:0045761	BP	regulation of adenylate cyclase activity	28	0	1	1
GO:0045762	BP	positive regulation of adenylate cyclase activity	9	0	1	1
GO:0045763	BP	negative regulation of cellular amino acid metabolic process	3	0	1	1
GO:0045764	BP	positive regulation of cellular amino acid metabolic process	3	0	1	1
GO:0045765	BP	regulation of angiogenesis	374	0	1	1
GO:0045766	BP	positive regulation of angiogenesis	199	0	1	1
GO:0045769	BP	negative regulation of asymmetric cell division	1	0	1	1
GO:0045773	BP	positive regulation of axon extension	43	0	1	1
GO:0045776	BP	negative regulation of blood pressure	46	0	1	1
GO:0045777	BP	positive regulation of blood pressure	37	0	1	1
GO:0045778	BP	positive regulation of ossification	89	0	1	1
GO:0045779	BP	negative regulation of bone resorption	13	0	1	1
GO:0045780	BP	positive regulation of bone resorption	18	0	1	1
GO:0045785	BP	positive regulation of cell adhesion	400	0	1	1
GO:0045786	BP	negative regulation of cell cycle	634	0	1	1
GO:0045787	BP	positive regulation of cell cycle	385	0	1	1
GO:0045792	BP	negative regulation of cell size	10	0	1	1
GO:0045793	BP	positive regulation of cell size	11	0	1	1
GO:0045794	BP	negative regulation of cell volume	5	0	1	1
GO:0045795	BP	positive regulation of cell volume	1	0	1	1
GO:0045796	BP	negative regulation of intestinal cholesterol absorption	2	0	1	1
GO:0045799	BP	positive regulation of chromatin assembly or disassembly	3	0	1	1
GO:0045806	BP	negative regulation of endocytosis	68	0	1	1
GO:0045807	BP	positive regulation of endocytosis	151	0	1	1
GO:0045813	BP	positive regulation of Wnt signaling pathway, calcium modulating pathway	1	0	1	1
GO:0045814	BP	negative regulation of gene expression, epigenetic	128	1	0.0345939137996719	1
GO:0045815	BP	positive regulation of gene expression, epigenetic	62	0	1	1
GO:0045818	BP	negative regulation of glycogen catabolic process	1	0	1	1
GO:0045819	BP	positive regulation of glycogen catabolic process	1	0	1	1
GO:0045820	BP	negative regulation of glycolytic process	13	0	1	1
GO:0045821	BP	positive regulation of glycolytic process	23	0	1	1
GO:0045822	BP	negative regulation of heart contraction	29	0	1	1
GO:0045823	BP	positive regulation of heart contraction	39	0	1	1
GO:0045824	BP	negative regulation of innate immune response	58	0	1	1
GO:0045827	BP	negative regulation of isoprenoid metabolic process	1	0	1	1
GO:0045828	BP	positive regulation of isoprenoid metabolic process	1	0	1	1
GO:0045829	BP	negative regulation of isotype switching	4	0	1	1
GO:0045830	BP	positive regulation of isotype switching	24	0	1	1
GO:0045833	BP	negative regulation of lipid metabolic process	89	0	1	1
GO:0045834	BP	positive regulation of lipid metabolic process	146	0	1	1
GO:0045835	BP	negative regulation of meiotic nuclear division	11	0	1	1
GO:0045836	BP	positive regulation of meiotic nuclear division	14	0	1	1
GO:0045837	BP	negative regulation of membrane potential	15	0	1	1
GO:0045838	BP	positive regulation of membrane potential	15	0	1	1
GO:0045839	BP	negative regulation of mitotic nuclear division	52	0	1	1
GO:0045840	BP	positive regulation of mitotic nuclear division	53	0	1	1
GO:0045841	BP	negative regulation of mitotic metaphase/anaphase transition	36	0	1	1
GO:0045842	BP	positive regulation of mitotic metaphase/anaphase transition	9	0	1	1
GO:0045843	BP	negative regulation of striated muscle tissue development	58	0	1	1
GO:0045844	BP	positive regulation of striated muscle tissue development	87	0	1	1
GO:0045848	BP	positive regulation of nitrogen utilization	1	0	1	1
GO:0045851	BP	pH reduction	53	0	1	1
GO:0045852	BP	pH elevation	7	0	1	1
GO:0045859	BP	regulation of protein kinase activity	786	0	1	1
GO:0045860	BP	positive regulation of protein kinase activity	528	0	1	1
GO:0045861	BP	negative regulation of proteolysis	356	0	1	1
GO:0045862	BP	positive regulation of proteolysis	360	0	1	1
GO:0045869	BP	negative regulation of single stranded viral RNA replication via double stranded DNA intermediate	14	0	1	1
GO:0045870	BP	positive regulation of single stranded viral RNA replication via double stranded DNA intermediate	2	0	1	1
GO:0045872	BP	positive regulation of rhodopsin gene expression	2	0	1	1
GO:0045875	BP	negative regulation of sister chromatid cohesion	5	0	1	1
GO:0045876	BP	positive regulation of sister chromatid cohesion	10	0	1	1
GO:0045879	BP	negative regulation of smoothened signaling pathway	31	0	1	1
GO:0045880	BP	positive regulation of smoothened signaling pathway	31	0	1	1
GO:0045887	BP	positive regulation of synaptic growth at neuromuscular junction	1	0	1	1
GO:0045892	BP	negative regulation of transcription, DNA-templated	1186	1	0.321387515679758	1
GO:0045893	BP	positive regulation of transcription, DNA-templated	1514	0	0.999999999999999	1
GO:0045898	BP	regulation of RNA polymerase II transcriptional preinitiation complex assembly	15	0	1	1
GO:0045899	BP	positive regulation of RNA polymerase II transcriptional preinitiation complex assembly	11	0	1	1
GO:0045900	BP	negative regulation of translational elongation	4	0	1	1
GO:0045901	BP	positive regulation of translational elongation	4	0	1	1
GO:0045903	BP	positive regulation of translational fidelity	3	0	1	1
GO:0045905	BP	positive regulation of translational termination	4	0	1	1
GO:0045906	BP	negative regulation of vasoconstriction	7	0	1	1
GO:0045907	BP	positive regulation of vasoconstriction	32	0	1	1
GO:0045910	BP	negative regulation of DNA recombination	43	0	1	1
GO:0045911	BP	positive regulation of DNA recombination	38	0	1	1
GO:0045912	BP	negative regulation of carbohydrate metabolic process	48	0	1	1
GO:0045913	BP	positive regulation of carbohydrate metabolic process	83	0	1	1
GO:0045914	BP	negative regulation of catecholamine metabolic process	4	0	1	1
GO:0045915	BP	positive regulation of catecholamine metabolic process	6	0	1	1
GO:0045916	BP	negative regulation of complement activation	8	0	1	1
GO:0045917	BP	positive regulation of complement activation	6	0	1	1
GO:0045918	BP	negative regulation of cytolysis	5	0	1	1
GO:0045919	BP	positive regulation of cytolysis	11	0	1	1
GO:0045920	BP	negative regulation of exocytosis	33	0	1	1
GO:0045921	BP	positive regulation of exocytosis	87	1	0.0275847685017983	1
GO:0045922	BP	negative regulation of fatty acid metabolic process	31	0	1	1
GO:0045923	BP	positive regulation of fatty acid metabolic process	37	0	1	1
GO:0045924	BP	regulation of female receptivity	8	0	1	1
GO:0045925	BP	positive regulation of female receptivity	3	0	1	1
GO:0045926	BP	negative regulation of growth	248	0	1	1
GO:0045927	BP	positive regulation of growth	266	0	1	1
GO:0045930	BP	negative regulation of mitotic cell cycle	338	0	1	1
GO:0045931	BP	positive regulation of mitotic cell cycle	163	0	1	1
GO:0045932	BP	negative regulation of muscle contraction	27	0	1	1
GO:0045933	BP	positive regulation of muscle contraction	48	0	1	1
GO:0045934	BP	negative regulation of nucleobase-containing compound metabolic process	1450	1	0.375867190672792	1
GO:0045935	BP	positive regulation of nucleobase-containing compound metabolic process	1874	0	1	1
GO:0045936	BP	negative regulation of phosphate metabolic process	579	0	1	1
GO:0045937	BP	positive regulation of phosphate metabolic process	1120	0	1	1
GO:0045938	BP	positive regulation of circadian sleep/wake cycle, sleep	6	0	1	1
GO:0045939	BP	negative regulation of steroid metabolic process	28	0	1	1
GO:0045940	BP	positive regulation of steroid metabolic process	30	0	1	1
GO:0045943	BP	positive regulation of transcription by RNA polymerase I	22	0	1	1
GO:0045944	BP	positive regulation of transcription by RNA polymerase II	1187	0	1	1
GO:0045945	BP	positive regulation of transcription by RNA polymerase III	10	0	1	1
GO:0045947	BP	negative regulation of translational initiation	18	0	1	1
GO:0045948	BP	positive regulation of translational initiation	30	0	1	1
GO:0045950	BP	negative regulation of mitotic recombination	3	0	1	1
GO:0045951	BP	positive regulation of mitotic recombination	1	0	1	1
GO:0045953	BP	negative regulation of natural killer cell mediated cytotoxicity	14	0	1	1
GO:0045954	BP	positive regulation of natural killer cell mediated cytotoxicity	29	1	0.00725260694424593	1
GO:0045955	BP	negative regulation of calcium ion-dependent exocytosis	11	0	1	1
GO:0045956	BP	positive regulation of calcium ion-dependent exocytosis	25	0	1	1
GO:0045957	BP	negative regulation of complement activation, alternative pathway	2	0	1	1
GO:0045958	BP	positive regulation of complement activation, alternative pathway	2	0	1	1
GO:0045959	BP	negative regulation of complement activation, classical pathway	3	0	1	1
GO:0045963	BP	negative regulation of dopamine metabolic process	4	0	1	1
GO:0045964	BP	positive regulation of dopamine metabolic process	6	0	1	1
GO:0045967	BP	negative regulation of growth rate	3	0	1	1
GO:0045974	BP	regulation of translation, ncRNA-mediated	88	0	1	1
GO:0045976	BP	negative regulation of mitotic cell cycle, embryonic	2	0	1	1
GO:0045977	BP	positive regulation of mitotic cell cycle, embryonic	1	0	1	1
GO:0045980	BP	negative regulation of nucleotide metabolic process	29	0	1	1
GO:0045981	BP	positive regulation of nucleotide metabolic process	55	0	1	1
GO:0045986	BP	negative regulation of smooth muscle contraction	16	0	1	1
GO:0045987	BP	positive regulation of smooth muscle contraction	32	0	1	1
GO:0045988	BP	negative regulation of striated muscle contraction	10	0	1	1
GO:0045989	BP	positive regulation of striated muscle contraction	16	0	1	1
GO:0045990	BP	carbon catabolite regulation of transcription	5	0	1	1
GO:0045991	BP	carbon catabolite activation of transcription	5	0	1	1
GO:0045992	BP	negative regulation of embryonic development	26	0	1	1
GO:0045993	BP	negative regulation of translational initiation by iron	1	0	1	1
GO:0045994	BP	positive regulation of translational initiation by iron	2	0	1	1
GO:0045995	BP	regulation of embryonic development	131	0	1	1
GO:0046005	BP	positive regulation of circadian sleep/wake cycle, REM sleep	1	0	1	1
GO:0046006	BP	regulation of activated T cell proliferation	37	0	1	1
GO:0046007	BP	negative regulation of activated T cell proliferation	11	0	1	1
GO:0046010	BP	positive regulation of circadian sleep/wake cycle, non-REM sleep	4	0	1	1
GO:0046013	BP	regulation of T cell homeostatic proliferation	3	0	1	1
GO:0046015	BP	regulation of transcription by glucose	5	0	1	1
GO:0046016	BP	positive regulation of transcription by glucose	4	0	1	1
GO:0046030	MF	inositol trisphosphate phosphatase activity	6	0	1	1
GO:0046031	BP	ADP metabolic process	125	0	1	1
GO:0046032	BP	ADP catabolic process	1	0	1	1
GO:0046033	BP	AMP metabolic process	14	0	1	1
GO:0046034	BP	ATP metabolic process	287	0	1	1
GO:0046036	BP	CTP metabolic process	14	0	1	1
GO:0046037	BP	GMP metabolic process	14	0	1	1
GO:0046038	BP	GMP catabolic process	1	0	1	1
GO:0046039	BP	GTP metabolic process	31	0	1	1
GO:0046040	BP	IMP metabolic process	13	0	1	1
GO:0046041	BP	ITP metabolic process	2	0	1	1
GO:0046048	BP	UDP metabolic process	1	1	0.000317055555482748	1
GO:0046049	BP	UMP metabolic process	10	0	1	1
GO:0046051	BP	UTP metabolic process	11	0	1	1
GO:0046054	BP	dGMP metabolic process	1	0	1	1
GO:0046056	BP	dADP metabolic process	3	0	1	1
GO:0046057	BP	dADP catabolic process	1	0	1	1
GO:0046058	BP	cAMP metabolic process	22	0	1	1
GO:0046060	BP	dATP metabolic process	5	0	1	1
GO:0046061	BP	dATP catabolic process	3	0	1	1
GO:0046065	BP	dCTP metabolic process	1	0	1	1
GO:0046066	BP	dGDP metabolic process	3	0	1	1
GO:0046067	BP	dGDP catabolic process	1	0	1	1
GO:0046068	BP	cGMP metabolic process	17	0	1	1
GO:0046069	BP	cGMP catabolic process	5	0	1	1
GO:0046070	BP	dGTP metabolic process	4	0	1	1
GO:0046072	BP	dTDP metabolic process	2	0	1	1
GO:0046073	BP	dTMP metabolic process	4	0	1	1
GO:0046075	BP	dTTP metabolic process	4	0	1	1
GO:0046077	BP	dUDP metabolic process	2	0	1	1
GO:0046078	BP	dUMP metabolic process	5	0	1	1
GO:0046079	BP	dUMP catabolic process	1	0	1	1
GO:0046080	BP	dUTP metabolic process	1	0	1	1
GO:0046081	BP	dUTP catabolic process	1	0	1	1
GO:0046083	BP	adenine metabolic process	3	0	1	1
GO:0046084	BP	adenine biosynthetic process	3	0	1	1
GO:0046085	BP	adenosine metabolic process	9	0	1	1
GO:0046086	BP	adenosine biosynthetic process	1	0	1	1
GO:0046087	BP	cytidine metabolic process	12	0	1	1
GO:0046090	BP	deoxyadenosine metabolic process	1	0	1	1
GO:0046092	BP	deoxycytidine metabolic process	1	0	1	1
GO:0046098	BP	guanine metabolic process	3	0	1	1
GO:0046099	BP	guanine biosynthetic process	1	0	1	1
GO:0046100	BP	hypoxanthine metabolic process	3	0	1	1
